Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
74,0,GRB190921699,n6,338.38,-63.42,22.272,1.0,12324.0,90.661
110,0,GRB090927422,na,343.95,-70.98,0.512,0.1,144646.0,993.581
116,0,GRB130505955,n8,344.47,-70.47,50.241,1.0,16994.0,128.495
147,0,GRB090719063,n8,341.27,-67.86,11.392,1.0,42286.0,333.399
156,0,GRB090524346,n3,329.5,-67.4,54.337,1.0,19930.0,152.282
178,0,GRB150628767,n7,347.02,-66.18,0.64,0.1,151200.0,960.878
183,0,GRB200130248,n6,329.29,-65.93,56.577,1.0,8188.0,57.153
189,0,GRB130727698,nb,330.8,-65.54,12.992,1.0,8113.0,56.546
223,0,GRB170127067,n4,339.33,-63.94,0.128,0.1,139502.0,1019.247
226,0,GRB180727594,n9,346.66,-63.05,0.896,0.1,149225.0,970.733
259,0,GRB171025913,n9,338.24,-61.52,7.936,1.0,12918.0,95.474
304,0,GRB200219317,n3,342.64,-59.12,1.152,0.1,151456.0,959.601
325,0,GRB150821406,n9,341.91,-57.89,103.426,1.0,11475.0,83.783
340,0,GRB080916406,n8,336.3,-57.0,46.337,1.0,4462.0,26.967
63,1,GRB121116459,n4,180.88,-74.79,0.832,0.1,0.0,
101,0,GRB110618366,n2,176.81,-71.69,163.843,1.0,240490.0,2935.4
103,0,GRB190906767,n4,171.84,-71.57,23.04,1.0,191294.0,2330.837
167,0,GRB181128751,n6,182.82,-66.74,17.664,1.0,177272.0,2158.522
64,1,GRB190327111,n8,79.07,-74.67,36.864,1.0,0.0,
78,0,GRB140712973,n8,83.48,-73.62,28.16,1.0,9833.0,48.728
90,0,GRB091102607,n2,72.62,-72.52,6.656,1.0,11327.0,57.493
107,0,GRB201104001,n7,81.4,-71.1,52.48,1.0,6630.0,29.936
65,1,GRB110212550,n7,311.33,-74.5,0.064,0.1,0.0,
83,0,GRB160625230,n7,314.53,-73.26,43.265,1.0,153178.0,2010.231
126,0,GRB131204937,n9,309.67,-69.67,29.952,1.0,180410.0,2371.008
162,0,GRB100719311,n1,304.87,-67.14,1.6,0.1,3466.0,27.883
66,1,GRB181022846,n0,216.26,-65.29,13.824,1.0,0.0,
91,0,GRB100926595,n4,222.75,-72.35,32.256,1.0,3989.0,29.208
98,0,GRB120827216,n2,222.74,-71.89,5.056,1.0,1594.0,7.078
127,0,GRB130327350,n1,218.09,-69.51,31.233,1.0,17761.0,156.464
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,38816.0,351.015
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,2012.0,10.941
